h_group_id,h_group_name,x_group_id,x_group_name,n_pdb_reps,n_afdb_reps,pdb_total_cys,afdb_total_cys,pdb_disulfide_pct,pdb_metal_pct,afdb_disulfide_pct,afdb_metal_pct
1056.1,tRNA pseudouridine synthase TruD insertion domain,1056,tRNA pseudouridine synthase TruD insertion domain,3,112,8,260,0.00,0.00,5.38,0.00
1057.1,Endonuclease PI-TkoII domain IV,1057,Endonuclease PI-TkoII domain IV,0,3,0,5,,,40.00,0.00
1058.1,Herpes DNA polymerase N-terminal domain,1058,Herpes DNA polymerase N-terminal domain,3,0,7,0,0.00,0.00,,
1059.1,Omega-3 polyunsaturated fatty acid synthase subunit PfaD N-terminal domain,1059,Omega-3 polyunsaturated fatty acid synthase subunit PfaD N-terminal domain,2,1,2,1,0.00,0.00,0.00,0.00
10.6,Calcium-mediated lectin,10,jelly-roll,0,1,0,1,,,0.00,0.00
1060.1,STPRs (score and three amino acid peptide repeats),1060,STPRs (score and three amino acid peptide repeats),0,2,0,2,,,0.00,0.00
106.1,Globin-like,106,Globin-like,137,397,287,1085,16.72,0.00,5.99,0.00
1061.1,gp120 inner domain,1061,gp120 inner domain,37,1,217,8,88.48,0.00,0.00,0.00
1062.1,Cryptic loci regulator 2 N-terminal domain,1062,Cryptic loci regulator 2 N-terminal domain,1,2,8,8,0.00,37.50,0.00,75.00
1063.1,Tegument protein U14,1063,Tegument protein U14,2,0,13,0,0.00,0.00,,
1065.1,SPX domain,1065,SPX domain,2,105,2,259,0.00,0.00,5.41,4.25
1066.1,Anti-repressor protein,1066,Anti-repressor protein,1,1,1,2,0.00,0.00,0.00,0.00
1067.1,pheromone Ep-1,1067,pheromone Ep-1,1,3,8,11,100.00,0.00,0.00,0.00
1068.1,CRISPR-associated endonuclease Cpf1 nuclease domain,1068,CRISPR-associated endonuclease Cpf1 nuclease domain,6,1,13,4,7.69,0.00,0.00,0.00
1069.1,CRISPR-associated endonuclease Cpf1 PI (PAM-interacting) domain,1069,CRISPR-associated endonuclease Cpf1 PI (PAM-interacting) domain,5,1,6,2,33.33,0.00,0.00,0.00
10.7,Hypothetical protein TM1070,10,jelly-roll,2,16,4,26,0.00,0.00,46.15,0.00
1070.1,CRISPR-associated endonuclease Cpf1 first helical domain,1070,CRISPR-associated endonuclease first helical domain,5,1,7,1,0.00,0.00,0.00,0.00
1070.2,CRISPR-associated endonuclease C2c1 first helical domain,1070,CRISPR-associated endonuclease first helical domain,2,0,4,0,25.00,0.00,,
107.1,Cytochrome c,107,Cytochrome c-like,171,292,395,679,11.39,0.00,5.15,0.00
1071.1,CRISPR-associated endonuclease Cpf1 second helical domain,1071,CRISPR-associated endonuclease Cpf1 second helical domain,7,0,10,0,0.00,0.00,,
107.2,Diheme cytochrome c (DHC) C-terminal domain,107,Cytochrome c-like,2,0,4,0,0.00,0.00,,
1072.1,Hsp90 co-chaperone Cdc37 N-terminal domain,1072,Hsp90 co-chaperone Cdc37 N-terminal domain,1,4,2,6,0.00,0.00,0.00,0.00
1073.1,Mitochondrial calcium uniporter (MCU),1073,Mitochondrial calcium uniporter (MCU),2,45,2,102,0.00,0.00,0.00,0.00
1074.1,Alpha helical domain of ribonucleotide reductases,1074,Alpha helical domain of ribonucleotide reductases,6,26,8,38,0.00,0.00,0.00,2.63
1075.1,Type II ABC exporter transmembrane domain-related,1075,Type II ABC exporter transmembrane domain fold,24,1343,90,4487,22.22,0.00,11.32,0.00
1075.3,Type I ABC importer transmembrane domain fold,1075,Type II ABC exporter transmembrane domain fold,6,578,11,1064,0.00,0.00,3.29,0.00
1075.4,Type I ABC exporter transmembrane domain fold,1075,Type II ABC exporter transmembrane domain fold,63,731,232,4964,3.88,0.00,1.37,0.04
1075.5,Multidrug and toxic compound extrusion (MATE) transporter,1075,Type II ABC exporter transmembrane domain fold,11,783,37,2827,0.00,0.00,0.46,0.00
1076.1,Intramembrane protease Rce1-related,1076,Intramembrane protease Rce1-related,2,242,7,694,0.00,0.00,3.75,0.43
1077.1,RelA zinc-finger domain,1077,RelA zinc-finger domain,3,24,7,74,42.86,0.00,5.41,9.46
1078.1,Bd-type quinol oxidase transmembrane helix subunit,1078,Bd-type quinol oxidase transmembrane helix subunit,0,21,0,40,,,52.50,0.00
1079.1,Transmembrane reductase CcdA,1079,Transmembrane reductase CcdA,1,181,2,461,0.00,0.00,5.42,0.00
10.8,Olfactory marker protein,10,jelly-roll,0,2,0,7,,,0.00,0.00
1080.1,Hantavirus structural glycoprotein Gn ectodomain subdomain III,1080,Hantavirus structural glycoprotein Gn ectodomain subdomain III,6,0,17,0,11.76,0.00,,
108.1,EF-hand-related,108,EF-hand,272,3212,479,7023,4.18,0.00,3.19,0.24
1081.1,Glycogen debranching enzyme (GDE) insertion domain,1081,Glycogen debranching enzyme (GDE) insertion domain,0,16,0,70,,,1.43,1.43
108.2,Insect pheromone/odorant-binding proteins,108,EF-hand,46,72,275,515,99.27,0.00,98.25,0.00
1082.1,Glycogen debranching enzyme (GDE) middle domain 2,1082,Glycogen debranching enzyme (GDE) middle domain 2,1,15,3,54,0.00,0.00,0.00,0.00
108.3,Cloroperoxidase,108,EF-hand,11,13,15,23,33.33,20.00,56.52,13.04
108.4,Hypothetical protein MTH865,108,EF-hand,1,9,1,13,100.00,0.00,0.00,0.00
1084.1,"Photosystem II reaction center W protein, chloroplastic",1084,"Photosystem II reaction center W protein, chloroplastic",0,18,0,26,,,7.69,0.00
1085.1,Archaea H-group 1085.1,1085,Archaea X-group 1085,1,8,1,8,0.00,0.00,0.00,0.00
1086.1,C-terminal beta-hairpin in astrotactin-2,1086,C-terminal beta-hairpin in astrotactin-2,1,6,2,14,0.00,0.00,57.14,0.00
1087.1,N-terminal domain of Phi ETA orf 56-like protein,1087,N-terminal domain of Phi ETA orf 56-like protein,1,1,1,2,0.00,0.00,0.00,0.00
1089.1,Asparaginal-tRNA synthetase N-terminal domain,1089,Asparaginal-tRNA synthetase N-terminal domain,1,8,1,13,0.00,0.00,7.69,0.00
10.9,C-terminal domain of mullusc hemocyanin,10,jelly-roll,21,37,41,88,87.80,0.00,34.09,4.55
1090.1,Oxalate biosynthetic component 1 (Obc1) cap domain,1090,Oxalate biosynthetic component 1 (Obc1) cap domain,1,0,2,0,0.00,0.00,,
109.1,Glutathione S-transferase (GST)-C,109,Repetitive alpha hairpins,160,568,327,1517,0.61,0.00,1.78,0.00
109.10,Translin,109,Repetitive alpha hairpins,4,55,11,124,0.00,0.00,2.42,0.00
1091.1,60S acidic ribosomal protein P1/P2,1091,60S acidic ribosomal protein P1/P2,3,44,5,60,0.00,0.00,0.00,0.00
109.12,C-terminal domain of Ku80,109,Repetitive alpha hairpins,5,34,5,87,0.00,0.00,3.45,0.00
109.13,MgtE N-terminal domain-like,109,Repetitive alpha hairpins,1,7,1,7,0.00,0.00,0.00,0.00
109.16,TROVE domain-like,109,Repetitive alpha hairpins,2,25,16,146,0.00,0.00,2.05,0.00
109.17,Proteasome activator BLM10,109,Repetitive alpha hairpins,1,23,41,744,0.00,0.00,0.00,0.00
109.18,Pseudo ankyrin repeat,109,Repetitive alpha hairpins,1,1,9,8,0.00,0.00,0.00,0.00
109.2,alpha/alpha toroid,109,Repetitive alpha hairpins,207,1384,928,7468,11.31,1.83,20.41,1.59
109.20,Coatomer subunit alpha C-terminal domain,109,Repetitive alpha hairpins,1,25,6,106,0.00,0.00,2.83,0.00
109.21,Nucleoporin NUP85/Nucleoporin NUP145 C-terminal domain,109,Repetitive alpha hairpins,15,125,143,1208,0.00,0.00,0.00,0.00
109.22,Survival of motor neuron protein-interacting protein 1,109,Repetitive alpha hairpins,1,25,8,118,0.00,0.00,0.00,0.00
109.23,C-terminal domain in vacuolar protein sorting-associated protein 54,109,Repetitive alpha hairpins,2,23,4,96,50.00,0.00,16.67,0.00
109.24,Helical domain in dedicator of cytokinesis protein 9,109,Repetitive alpha hairpins,3,103,10,430,0.00,0.00,0.93,0.00
109.25,GPCR-autoproteolysis inducing domain subdomain A,109,Repetitive alpha hairpins,1,31,1,57,0.00,0.00,24.56,0.00
109.26,Nuclear pore complex component Nup133/Nup170/Nup157 C-terminal domains,109,Repetitive alpha hairpins,30,120,214,995,0.47,0.00,0.60,0.10
109.27,BACK domain,109,Repetitive alpha hairpins,7,585,18,2013,0.00,0.00,0.65,0.40
109.29,Chloroplast inner membrane protein TIC110,109,Repetitive alpha hairpins,1,2,4,5,0.00,0.00,0.00,0.00
109.3,Ankyrin repeat,109,Repetitive alpha hairpins,163,4081,691,19546,5.35,2.60,1.46,1.38
109.30,Nucleoporin Nup84/Nup107,109,Repetitive alpha hairpins,3,56,27,390,0.00,0.00,0.00,0.00
1093.1,DUF4479,1093,DUF4479,0,2,0,3,,,33.33,0.00
109.32,Alkylsulfatase SdsA1 linker domain,109,Repetitive alpha hairpins,0,4,0,4,,,0.00,0.00
109.33,TIR domain-containing adapter molecule 1 N-terminal domain,109,Repetitive alpha hairpins,1,2,4,10,0.00,0.00,0.00,0.00
109.34,26S proteasome subunit Rpn2 N-terminal domain,109,Repetitive alpha hairpins,7,46,32,404,0.00,0.00,0.00,0.00
109.35,Proteasome/cyclosome (PC) repeat,109,Repetitive alpha hairpins,11,43,62,412,0.00,0.00,0.00,0.00
109.36,Protein transport protein SEC39,109,Repetitive alpha hairpins,1,10,1,87,0.00,0.00,0.00,0.00
109.37,Anion channel SLAC1-related,109,Repetitive alpha hairpins,2,48,10,282,0.00,0.00,0.00,0.00
109.38,Telomere length regulation protein TEL2,109,Repetitive alpha hairpins,1,13,5,130,0.00,0.00,0.00,0.00
109.39,transcription anti-terminator antagonist UpxZ,109,Repetitive alpha hairpins,1,1,2,4,0.00,0.00,0.00,0.00
109.4,ARM repeat,109,Repetitive alpha hairpins,917,31845,5821,235116,1.44,0.05,1.17,0.89
109.40,DNA polymerase alpha-binding protein Ctf4 C-terminal domain,109,Repetitive alpha hairpins,3,55,10,151,0.00,0.00,1.99,0.00
